Staat,Hauptstadt,Kontinent
Afghanistan,Kabul,Asien
Ägypten,Kairo,Afrika
Albanien,Tirana,Europa
Algerien,Algier,Afrika
Andorra,Andorra la Vella,Europa
Angola,Luanda,Afrika
Antigua und Barbuda,St. John’s,Amerika/Westindien
Äquatorialguinea,Malabo,Afrika
Argentinien,Buenos Aires,Amerika/Südamerika
Armenien,Jerewan,Asien
Aserbaidschan,Baku,Asien
Äthiopien,Addis Abeba,Afrika
Australien,Canberra,Australien und Ozeanien
Bahamas,Nassau,Amerika/Westindien
Bahrain,Manama,Asien
Bangladesch,Dhaka,Asien
Barbados,Bridgetown,Amerika/Westindien
Belgien,Brüssel,Europa
Belize,Belmopan,Amerika/Mittelamerika
Benin,Porto Novo,Afrika
Bhutan,Thimphu,Asien
Bolivien,Sucre,Amerika/Südamerika
Bosnien und Herzegowina,Sarajevo,Europa
Botsuana,Gaborone,Afrika
Brasilien,Brasília,Amerika/Südamerika
Brunei,Bandar Seri Begawan,Asien
Bulgarien,Sofia,Europa
Burkina Faso,Ouagadougou,Afrika
Burundi,Bujumbura,Afrika
Chile,Santiago de Chile,Amerika/Südamerika
China,Peking,Asien
Costa Rica,San José,Amerika/Mittelamerika
Dänemark,Kopenhagen,Europa
Deutschland,Berlin,Europa
Dominica,Roseau,Amerika/Westindien
Dominikanische Republik,Santo Domingo,Amerika/Westindien
Dschibuti,Dschibuti,Afrika
Ecuador,Quito,Amerika/Südamerika
El Salvador,San Salvador,Amerika/Mittelamerika
Elfenbeinküste,Yamoussoukro,Afrika
Eritrea,Asmara,Afrika
Estland,Tallinn,Europa
Fidschi,Suva,Australien und Ozeanien
Finnland,Helsinki,Europa
Frankreich,Paris,Europa
Gabun,Libreville,Afrika
Gambia,Banjul,Afrika
Georgien,Tiflis,Asien
Ghana,Accra,Afrika
Grenada,St. George’s,Amerika/Westindien
Griechenland,Athen,Europa
Guatemala,Guatemala-Stadt,Amerika/Mittelamerika
Guinea,Conakry,Afrika
Guinea-Bissau,Bissau,Afrika
Guyana,Georgetown,Amerika/Südamerika
Haiti,Port-au-Prince,Amerika/Westindien
Honduras,Tegucigalpa,Amerika/Mittelamerika
Indien,Neu-Delhi,Asien
Indonesien,Jakarta,Asien
Irak,Bagdad,Asien
Iran,Teheran,Asien
Irland,Dublin,Europa
Island,Reykjavík,Europa
Israel,Jerusalem,Asien
Italien,Rom,Europa
Jamaika,Kingston,Amerika/Westindien
Japan,Tokio,Asien
Jemen,Sanaa,Asien
Jordanien,Amman,Asien
Kambodscha,Phnom Penh,Asien
Kamerun,Jaunde (Yaoundé),Afrika
Kanada,Ottawa,Amerika/Nordamerika
Kap Verde,Praia,Afrika
Kasachstan,Astana,Asien
Katar,Doha,Asien
Kenia,Nairobi,Afrika
Kirgisistan,Bischkek,Asien
Kiribati,South Tarawa,Australien und Ozeanien
Kolumbien,Bogotá,Amerika/Südamerika
Komoren,Moroni,Afrika
Demokratische Republik Kongo,Kinshasa,Afrika
Republik Kongo,Brazzaville,Afrika
Nordkorea,Pjöngjang,Asien
Südkorea,Seoul,Asien
Kosovo,Priština,Europa
Kroatien,Zagreb (Agram),Europa
Kuba,Havanna,Amerika/Westindien
Kuwait,Kuwait-Stadt,Asien
Laos,Vientiane,Asien
Lesotho,Maseru,Afrika
Lettland,Riga,Europa
Libanon,Beirut,Asien
Liberia,Monrovia,Afrika
Libyen,Tripolis,Afrika
Liechtenstein,Vaduz,Europa
Litauen,Vilnius,Europa
Luxemburg,Luxemburg,Europa
Madagaskar,Antananarivo,Afrika
Malawi,Lilongwe,Afrika
Malaysia,Kuala Lumpur,Asien
Malediven,Malé,Asien
Mali,Bamako,Afrika
Malta,Valletta,Europa
Marokko,Rabat,Afrika
Marshallinseln,Majuro,Australien und Ozeanien
Mauretanien,Nouakchott,Afrika
Mauritius,Port Louis,Afrika
Mazedonien,Skopje,Europa
Mexiko,Mexiko-Stadt,Amerika/Nordamerika
Mikronesien,Palikir,Australien und Ozeanien
Moldawien,Chișinău,Europa
Monaco,Monaco,Europa
Mongolei,Ulaanbaatar,Asien
